area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a2,56,275,0,0,0,0,0
a2,56,275,1,2,2,3.6,0.7
a2,56,275,2,5,5,8.9,1.8
a2,56,275,3,15,15,26.8,5.5
a2,56,275,4,21,21,37.5,7.6
a2,56,275,5,35,40,62.5,14.5
a3,10,88,0,0,0,0,0
a3,10,88,1,0,0,0,0
a3,10,88,2,2,2,20,2.3
a3,10,88,3,3,4,30,4.5
a3,10,88,4,5,6,50,6.8
a3,10,88,5,6,8,60,9.1
a5,60,184,0,0,0,0,0
a5,60,184,1,2,2,3.3,1.1
a5,60,184,2,5,5,8.3,2.7
a5,60,184,3,8,8,13.3,4.3
a5,60,184,4,9,9,15,4.9
a5,60,184,5,10,11,16.7,6
a6,89,154,0,0,0,0,0
a6,89,154,1,1,1,1.1,0.6
a6,89,154,2,4,4,4.5,2.6
a6,89,154,3,10,10,11.2,6.5
a6,89,154,4,14,14,15.7,9.1
a6,89,154,5,18,19,20.2,12.3